"BATCH_FILE","ITEM","BLOCKS_SEEN","NUMBER_VERDICT","WAY_UP","PHOTO_NOTES","WORDS_VERDICT","WORDS_NOTE","NAME_VERDICT","NAME_NOTE","OTHER_PROBLEMS","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_11-20__READER_A.json","107","107","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[107] Spiral-torn sheet with bubble title MISS YOU, KISS YOU, verses marked man/woman/together, many cross-outs || 2=[107] Turned copy is upright: song-structure map (verse M/F, chorus together, bridge) with a bubble of lines I long to have you...","MATCH","Typed words cover photo 1 (a clean reading, then a literal reading) and the structure notes and bubble lines on photo 2.","OK","MISS YOU, KISS YOU is the title on both sheets.","Summary is wrong for these photos: it says 'tiny torn spiral strip with Pandora's Box written at top, HARD DATE 4/5/11', but both photos show full-size spiral-torn sheets titled MISS YOU, KISS YOU, with no Pandora's Box and no date visible.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_11-20__READER_A.json","126","126","MATCHES","1:UPRIGHT","1=[126] Spiral-torn sheet, top half black marker, bottom half green ink, circled green margin notes running up the left side","SMALL DIFFERENCES","Main text and margin notes match, but the typed text drops the line 'Slowly my wheat fields are turning to hay'. Typed notes place the margin writing at bottom/bottom-right; on the photo it runs up the left margin.","OK","Start of the first line (I've been plowing these same fields).","Summary says 'blue ink' but the writing is black and green.","FAIRLY SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_11-20__READER_A.json","146","146","MATCHES","1:UPRIGHT","1=[146] One full spiral-torn notebook sheet titled YOUR NAME, 16 lines","MATCH","All lines match.","OK","YOUR NAME is the title written on the sheet.","Summary is wrong for this photo: it says '6+ torn spiral strips laid out on a surface... shots 435-438', but the photo shows one full sheet, not strips.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_21-30__READER_A.json","152","152","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[152] PRISON GUARD ANTHEM sheet, loose-leaf with torn spiral edge || 2=[152] Escape From Alcatraz sheet, 3-hole punched loose-leaf","TYPED WORDS INCLUDE A SHEET NOT PICTURED","Prison Guard Anthem and Escape From Alcatraz match the photos. After them the typed words add ON ANOTHER PLANE ('Sit on my steps stare at a plane in the sky...'), 'John's hitting the crack pipe...' and 'I lay on the ground and I feel death's cold eyes...' - none of these is on either photo.","OK","Both titles are written on the two pictured sheets.","Summary is an internal note a buyer would read: 'SUBSTRATE MISMATCH - two different paper stocks, two titles, same number. Flag for Tom.' Also the page's 'Where it lives' line says SONG LIST 5 TRACK 2 WORTH THE WAIT, which fits item 196, not this sheet.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_21-30__READER_A.json","153","153","MATCHES","1:UPRIGHT","1=[153] Yellowed spiral-notebook page, 'I wake up I can't see my face'","MATCH","Typed words follow the sheet line for line.","OK","First line of the sheet.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_21-30__READER_A.json","168","168","MATCHES","1:UPRIGHT","1=[168] 3-hole lined sheet, 'The coming of fall' with bubble-letter title","TYPED WORDS INCLUDE A SHEET NOT PICTURED","The Coming of Fall matches the photo. The typed words then add three more pieces not on the photo: 'We know the search is never easy...', 'We've both seen the worst that can happen...' and 'Blank Page so I must fill it...'.","OK","Title written on the sheet.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_21-30__READER_A.json","181","181","MATCHES","1:UPRIGHT","1=[181] Lined sheet torn from spiral, blue ink, 'I used to be really rockin''","SMALL DIFFERENCES","Typed words skip the sheet's 6th line '[?] down the avenue I'm strolling' (after 'So now I'm back out lookin''). Rest matches.","OK","First line of the sheet.","Summary says the page has a hand-drawn box with two stick figures ('LOVE xxx ooo', 'family forever') and a bulleted idea list upper left - none of that is on the photo; the photo is lyrics only.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_21-30__READER_A.json","185","185","MATCHES","1:UPRIGHT 2:UPRIGHT 3:UPRIGHT 4:UPRIGHT 5:UPRIGHT 6:UPRIGHT 7:UPRIGHT 8:UPRIGHT","1=[185] Loose-leaf sheet, 'Staring up at the courthouse' (different poem from the title) || 2=[185] Turned copy: loose-leaf sheet, 'I don't remember the color of her eyes' - reads upright || 3=[185] Clean copy titled 'One's loss, Another's gain' || 4=[185] Draft sheet: 'When the angels tried to follow', Pico Duarte, rhyme words || 5=[185] Spiral draft: 'East of San Juan / West of Santo Domingo' || 6=[185] Spiral draft: 'It's been said that when the waves begin crashing', 52 lines note || 7=[185] Spiral draft: 'The Dominican Republic / A young mother gave birth' || 8=[185] Draft marked C3: 'She was born in the Dominican Republic'","TYPED WORDS INCLUDE A SHEET NOT PICTURED","Typed: Staring up at the courthouse (photo 1, ok), 'Three thirty four...' (no photo), 'Second rate, Second best...' (no photo), I don't remember the color of her eyes (photo 2, ok), 'I change the world...' (no photo), then the One's loss clean copy (photo 3, ok). The five working drafts (photos 4-8) are not typed.","OK","Title of the clean copy in photo 3.","Summary says 6 sheets (1 clean + 5 drafts) but the card has 8 photos; photos 1 and 2 are two other poems on 185 blocks that the summary does not mention.","FAIRLY SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_21-30__READER_A.json","186","186","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[186] Page 1 of 'THE END OF THE ROAD', lined 3-hole sheet || 2=[186] Page 2 of THE END OF THE ROAD; 'ADD MORE' in left margin, page 1 flipped over top left","MATCH","Both pages match. The end of the typed words carries transcriber notes ('The paper also has the following text in the bottom left corner...', 'DD / ORE') - 'DD ORE' is 'ADD MORE' cut off in the left margin of photo 2, not bottom right.","OK","Title written on the sheet.","Transcriber commentary lines are inside the typed words a buyer reads.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_21-30__READER_A.json","196","196","MATCHES","1:UPRIGHT","1=[196] Lined sheet torn from spiral, cursive, 'They say that absence makes the heart grow fonder', no title","SMALL DIFFERENCES","Sheet reads 'I've learned from mistakes / That I've made in the past'; typed has 'That I've learned from mistakes' and drops 'That I've made in the past'. Rest matches.","NOT FROM THIS SHEET","'Tomorrow is the Day' is nowhere on the sheet. Sheet has no title; first line is 'They say that absence makes the heart grow fonder' (hook 'Honey, you were well worth the wait'; album song WORTH THE WAIT).","Summary says 'hand-drawn SUN ILLUSTRATION beside title' - the photo has no title and no sun drawing.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_21-30__READER_A.json","204","204","MATCHES","1:UPRIGHT 2:UPRIGHT 3:UPRIGHT","1=[204] Both pages of 'Tonight's Moonlight' laid top and bottom in one shot || 2=[204] Page 1 of Tonight's Moonlight, syllable counts in margin || 3=[204] Page 2 of Tonight's Moonlight ('The sun could sleep for seven years')","TYPED WORDS INCLUDE A SHEET NOT PICTURED","The two pages are typed twice (once from photo 1, again from photos 2-3). After them the typed words add a rhyme list ('fantasy divorcee disagree...') and a verse 'Caught up in the rat race of time...' that are on no photo.","OK","Title written on the sheet.","Summary says '16 numbered stanzas' - the numbers are syllable counts; there are not 16 numbered stanzas.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_21-30__READER_A.json","210","210","MATCHES","1:UPRIGHT","1=[210] Lined sheet torn from spiral, 'FIGHT FOR PEACE' outlined title","MATCH","Typed words follow the sheet, crossed-out bits marked.","OK","Title written on the sheet.","Summary says graphite pencil; the writing looks like dark ink (not certain).","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_21-30__READER_A.json","211","211","MATCHES","1:UPRIGHT","1=[211] Lined sheet torn from spiral, 'IT'S YOUR TURN' with circled stanza numbers","MATCH","Typed words follow the sheet, stanza numbers and crossed-out lines marked.","OK","Title written on the sheet.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_01-10__READER_A.json","221","221","MATCHES","1:UPRIGHT","1=[221] White lined sheet, untitled lyric starting 'Huh, money's nothing / but a sin to be born', ending 'our castle is made of sand'.","TYPED WORDS INCLUDE A SHEET NOT PICTURED","Section 1 (Huh, money's nothing ... castle is made of sand) matches the photo. Sections 2 ('Just what is wrong with me? ...') and 3 ('A B C D E F G ... When you look at me and think to yourself that I should act my age') are on no photo of this card.","NOT FROM THIS SHEET","'THE LIGHT OR THE WHITE' is the title of item 223's yellow sheet. This sheet has no title; use first line 'Huh, money's nothing' (or hook 'Our castle is made of sand').","Name borrowed from item 223.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_01-10__READER_A.json","223","223","MATCHES","1:UPRIGHT","1=[223] Yellow legal pad sheet titled 'THE LIGHT OR THE WHITE', one verse in ink.","SMALL DIFFERENCES","Typed words skip the line 'The white or the light' (between 'Either lead the pack or follow behind' and 'Its the fight of your life'). Rest matches.","OK","Title written at top of sheet.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_01-10__READER_A.json","230","230","MATCHES","1:UPRIGHT","1=[230] Lined notebook sheet, 'Orange is the color of the trees', three stanzas with some lines struck, 'In the warmth of her eyes' at bottom.","TYPED WORDS INCLUDE A SHEET NOT PICTURED","Section 1 (Orange is the color of the trees ...) matches. Sections 'SEXUAL INTELLECTUAL' and 'Before Class Entry 3/27 MAJOR BLUES...' are on no photo of this card.","OK","First line of the sheet.","Summary says pencil writing; the sheet is written in pen/ink.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_01-10__READER_A.json","237","237","MATCHES","1:UPRIGHT","1=[237] White sheet of handwritten song production notes in pencil, blue and orange ink (Piano, Strings, 'do do do', timings 1:20, 2:30, 3:20, 3:50, 'it's just so sad I'll never see you around').","SMALL DIFFERENCES","Notes match the sheet, but the typed words begin with the block digits '[2] [3] [7]' as if they were writing on the sheet.","NOT FROM THIS SHEET","'ANY GIVEN DAY' is not written anywhere on this sheet. Sheet's own words: 'Piano - do do, do do' or 'It's just so sad I'll never see you around'. (Same sheet lies beside the Blessing in Disguise package in item 238's photos, so these may be notes for that song.)","Summary is wrong: says 'a printed poem' with number cards 'to the left'; it is handwritten production notes with the blocks above. Item type 'FULL LYRICS' does not fit a notes sheet.","FAIRLY SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_01-10__READER_A.json","238","238","DIFFERENT NUMBER","1:SIDEWAYS 2:UPRIGHT 3:UPRIGHT 4:UPRIGHT 5:UPRIGHT 6:UPRIGHT 7:UPRIGHT 8:UPRIGHT 9:UPRIGHT 10:UPRIGHT 11:UPRIGHT","1=[238 (column at right edge, reads 238 once turned) plus loose spare digit squares at bottom right] Wide overview of the whole Blessing in Disguise package laid out on a bed. This turned copy is STILL SIDEWAYS: all writing runs down the screen; needs a quarter turn to the left. || 2=[238] Typed colored BLESSING IN DISGUISE sheet with handwritten margin lines and 'Phongy @ telus.net'. || 3=[NONE] Handwritten syllable worksheet (1): 'facing the unknown', 'can show you things that weren't shown', 'some times you must wear a blind fold', 'before you can tell how much you've grown'. || 4=[NONE] Typed page with writer's notes and two 'deleted stanza for length/weakness' stanzas. || 5=[NONE] Typed page 'Allowing you to gaze up at brighter skies' with handwritten lines at right. || 6=[NONE] Handwritten syllable worksheet (2): 'why can no one be owned', 'beneath your breath you moan', 'perhaps your reaction was overblown'. || 7=[NONE (loose spare digit squares at right edge, not a number)] Handwritten note 'Blessing in disguise... Duet - male & female', blue ink with drawn arrows. || 8=[NONE (one partial square at bottom right)] Handwritten chorus worksheet 'Soaked to the bone / As you're on your way home' with rhyme list. This turned copy reads the right way up. || 9=[238] Same typed BLESSING IN DISGUISE center sheet, second shot. || 10=[240] WRONG PIECE: both pages of TALKING 'BOUT (item 240). || 11=[240] WRONG PIECE: page 1 of TALKING 'BOUT (item 240), 'Stadiums full of screaming teens'.","SHEET WORDS NOT TYPED","Center sheet and photo 4 text are typed. Photo 3 worksheet is typed only as its margin words 'unknown / grown'; its lines (blind fold, how much you've grown, rhyme list) are missing. Typed text is cut at 1800 chars so photos 5-8 could not be fully checked.","OK","Title typed on the center sheet.","Photos 10 and 11 carry blocks 240 - they are item 240's TALKING 'BOUT pages and should come off this card and go to 240. Photo 1 'upright' replacement is still sideways.","FAIRLY SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_01-10__READER_A.json","240","240","MATCHES","1:UPRIGHT","1=[240] Page 2 of TALKING 'BOUT: typed 'Not to rebel so you just gave in / Talking 'bout...' with many green handwritten lines.","SHEET WORDS NOT TYPED","The green handwritten lines on the pictured page ('Stopping traffic without crossing the street', 'Seeing smiling faces on everyone you meet', 'Your find yourself in a fast car with an even faster girl ... Both your face and name', 'A crisp hundred dollar bill in the hands of the door man') are not typed; only the struck typed lines are. The typed page-1 section (Stadiums full of screaming teens ...) is not pictured on this card - its photos sit on card 238.","OK","Title on the sheet.","Page 1 photos of this piece (blocks 240) are on card 238 (its photos 10 and 11); they belong here. Summary 'single sheet with circled and listed numbers' undersells it: typed lyric page with green handwritten lyrics.","FAIRLY SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_01-10__READER_A.json","266","266","MATCHES","1:UPRIGHT","1=[266] Lined notebook sheet titled 'Fallen clouds', one verse in ink.","MATCH","","OK","Title on the sheet.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_01-10__READER_A.json","270","270","MATCHES","1:UPRIGHT","1=[270] Two overlapping lined sheets in ink: 'I got a postcard from you a day before yesterday...' and 'Unfadable... / Tracable... / Unavoidable...'.","SMALL DIFFERENCES","'a day before' is typed as its own first line, but on the sheet it is an insert into line 1 ('I got a postcard from you a day before yesterday'). Otherwise matches.","JUNK NAME","'a day before' is only a small insert written above 'yesterday', not a title. Better: 'I got a postcard from you' (first line).","Summary says 'a blank sheet'; both sheets are lined.","FAIRLY SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_01-10__READER_A.json","327","327","MATCHES","1:UPRIGHT","1=[327] Lined notebook sheet, alphabet rhyme strip at top, lyric 'You drown all of your sadness ... beds of gold for beds of straw', blue ink.","MATCH","","JUNK NAME","The alphabet strip at the top is a rhyming aid, not a title. Use first line 'You drown all of your sadness' (or hook 'Where losers win and winners draw').","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_01-10__READER_A.json","332","332","MATCHES","1:UPRIGHT","1=[332] Lined sheet titled 'SINK OR SWIM', one long verse in black ink.","MATCH","","OK","Title on the sheet.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_11-20__READER_A.json","335","335","MATCHES","1:UPRIGHT","1=[3-3-5 in a row = 335] Yellow legal pad sheet, pencil, 'I live in a world where there are no fist fights' full lyric.","MATCH","Typed words match the sheet line for line.","OK","First line of the sheet.","Summary says 'white paper' - the sheet is yellow legal paper. Minor.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_11-20__READER_A.json","364","364","MATCHES","1:UPRIGHT","1=[3-6-4 in a row = 364] White loose-leaf sheet, black ink, 'When its time to sink or swim its already too late' lyric.","MATCH","Typed words match the sheet.","OK","First line of the sheet.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_11-20__READER_A.json","372","372","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[3-7-2 in a row = 372] Stained loose-leaf sheet, front: 'The time is getting late / Your lifetime is passing' lyric. || 2=[3-7-2 in a row = 372] Back of the same sheet: school history notes (Boston Massacre, Boston Tea Party, Intolerable Acts).","MATCH","Both sides typed and they match the photos. But the typed text has reader tool junk in the middle: '[read/page 2 - shot 974] TITLE : [NONE] PAPER : notebook LINES : 16 TEXT :'.","NOT FROM THIS SHEET","'SCENE 1' is not written on either side. Should be 'The time is getting late' (first line).","Typed words show reader header junk ('[read/page 2 - shot 974] TITLE : [NONE] PAPER : notebook LINES : 16 TEXT :') a buyer would see. Back side is history class notes, not lyrics.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_11-20__READER_A.json","375","375","MATCHES","1:UPRIGHT","1=[3-7-5 in a row = 375] Loose-leaf sheet, blue ink, 'I heard your voice again' full lyric with 'But' and 'to' in the left margin.","MATCH","Typed words match the sheet, margin words included.","OK","First line of the sheet.","Summary is wrong: says '3 columns of rhyme-ending words, organized by sound family' and 'black ink' - the photo is a plain lyric sheet in blue ink.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_11-20__READER_A.json","378","378","MATCHES","1:UPRIGHT","1=[3-7-8 in a row = 378] Loose-leaf sheet with alphabet line at top, 'I don't read the paper, hell I don't even watch the news' lyric.","MATCH","Typed words match the sheet, alphabet line included. Only small misreads.","OK","Opening words of the first lyric line.","Summary says 'torn sheet' - the sheet is not torn, only a folded corner. Minor.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_02_OF_03_V10F_W0220__cards_11-20__READER_A.json","384","384","MATCHES","1:UPRIGHT","1=[3-8-4 in a row = 384] Loose-leaf sheet, 'When the Angels tried to follow' lyric (Pico Duarte).","MATCH","Typed words match the sheet, strike-outs noted.","OK","First line of the sheet.","","SURE"
